159, 720
160, 719
380, 719
381, 720
381, 730
380, 731
371, 731
371, 839
372, 840
372, 939
480, 939
481, 940
481, 950
480, 951
60, 951
59, 950
59, 880
60, 879
70, 879
71, 880
71, 939
359, 939
359, 731
160, 731
159, 730

59, 700
60, 699
70, 699
71, 700
71, 719
80, 719
81, 720
81, 730
80, 731
71, 731
71, 760
70, 761
60, 761
59, 760

59, 570
60, 569
70, 569
71, 570
71, 609
137, 609
138, 610
138, 620
137, 621
71, 621
71, 640
70, 641
60, 641
59, 640

59, 400
60, 399
70, 399
71, 400
71, 500
70, 501
60, 501
59, 500

179, 290
180, 289
380, 289
381, 290
381, 300
380, 301
286, 301
286, 339
287, 340
287, 540
286, 541
286, 609
374, 609
375, 610
375, 620
374, 621
272, 621
271, 620
271, 610
272, 609
274, 609
274, 301
180, 301
179, 300

59, 280
60, 279
70, 279
71, 280
71, 320
70, 321
60, 321
59, 320

579, 60
580, 59
680, 59
681, 60
681, 950
680, 951
582, 951
581, 950
581, 940
582, 939
669, 939
669, 911
668, 910
668, 731
460, 731
459, 730
459, 720
460, 719
516, 719
516, 710
517, 709
527, 709
528, 710
528, 719
669, 719
669, 695
668, 694
668, 646
669, 645
669, 621
528, 621
528, 630
527, 631
518, 631
517, 630
517, 621
512, 621
511, 620
511, 610
512, 609
669, 609
669, 481
668, 480
668, 150
669, 149
669, 71
580, 71
579, 70

379, 60
380, 59
480, 59
481, 60
481, 70
480, 71
380, 71
379, 70

59, 60
60, 59
280, 59
281, 60
281, 70
280, 71
71, 71
71, 160
70, 161
60, 161
59, 160

